ammonium metatungstate                 1055          L(+)-ascorbic acid                1098
ammonium molybdate                     1069          9-azafluorene                     1197
ammonium nitrate                       1070          1 -azanaphthalene                 1202
ammonium oxalate                       1071          barium carbonate                  1100
ammonium peroxo disulfate              1072          barium chloride                   1101
ammonium persulfate                    1072          barium cyanide                    1102
ammonium rhodanide                     1074          barium hydroxide                  1103
ammonium sulfamate                     1075          barium nitrate                    1104
ammonium sulfate                       1076          barium peroxide                   1105
ammonium sulfide                       1077          barium sulfate                    1106
ammonium thiocyanate                   1074          barium sulfide                    1107
amyl acetate                           1078          baryta white                      1106
amyl alcohol                           1079          beer                              1129
amyl alcohol (mixture of isomers)      1583          beer color                        1130
sec-amyl alcohol                       1745          benzal chloride                   1110
amyl chloride                          1080          benzaldehyde                      1111
amyl laurate                           1081          benzaldehyde oxime                1090
p-tert-amyl phenol                     1082          benzamide                         1112
aniline                                1083          benzene                           1117
aniline sulfate                        1084          benzenecarboxylic acid            1116
"aniline sulfite                        1085          benzene-1 ,2-dicarboxylic acid    1598"
aniline-4-sulfonic acid                1050          benzene sulfonic acid             1120
anilinium sulfate                      1084          benzene                           1447
anilinium sulfite                      1085          benzoic acid                      1116
p-an anisaldehyde                      1086          benzoic acid amide                1112
anise oil                              1088          benzoic acid ammonium salt        1057
anisole                                1087          benzoic acid anhydride            1118
antimony pentachloride                 1091          benzoic acid calcium salt         1172



w w w . S i m t e c h . c o m
5
                    Chemical                    Number                        Chemical        Number
"benzoic acid chloride                        1121          butane-1,4-dicarboxylic acid    1029"
benzoic acid sodium salt                     1119          butanedioic acid                1125
"benzoic anhydride                            1118          1 ,4-butanediol                 1153"
benzophenone                                 1290          1 -butanethiol                  1156
benzoyl chloride                             1121          butanoic acid                   1159
benzyl alcohol                               1122          1 -butanol                      1155
benzyl chloride                              1123          2-butanol                       1739
N-benzyl-N-ethyl aniline                     1124          butanone                        1328
N-benzyl-N-ethylphenylamine                  1124          trans-2-butenal                 1239
benzylidene chloride                         1110          1 -butene                      1157
"beryllium chloride                           1126          cis-2-butene-1,4-dioic acid    1470"
beryllium fluoride                           1127          trans-2-butenoic acid          1241
beryllium sulfate                            1128          2-butoxyethanol                2143
biphenyl                                     1287          butyl Cellosolve               2143
"1,1 -bis(4-chlorophenyl)-2,2,2-trichlo-                    butyl acetate                  1160"
roethane                                     1255          butyl acrylate                 1028
bis(2-hydroxyethyl)amine                     1271          butyl alcohol                  1155
bis(2-hydroxyethyl)ether                     1273          sec-butyl alcohol              1739
bisulfite lye                                1131          butylamine                     1161
borax                                        1546          butyl bromide                  1162
boric acid                                   1142          butyl chloride                 1163
boric acid trimethyl ester                   1689          butylene                       1157
(+/-)-borneol                                1417          butyl ether                    1260
boron trichloride                            1143          1 -butyl mercaptan             1156
boron trifluoride                            1144          4-tert-butylphenol             1164
brandy                                       1711          butyl phosphate                1165
brine                                        1525          butylstearate                  1653
brine                                        1624          1 -butyne                      1158
bromine                                      1148          butyric acid                   1159
bromine vapors                               1146          cadmium acetate                1166
"bromine, aqueous solution                    1150          cadmium chloride               1167"
1 -bromobutane                               1162          cadmium cyanide                1168
1 -bromo-2-chloroethane                      1145          cadmium sulfate                1169
bromochloromethane                           1210          calcium acetate                1170
bromoethane                                  1147          calcium acetylide              1174
bromoform                                    1149          calcium arsenate               1171
bromomethane                                 1483          calcium benzoate               1172
"1 ,3-butadiene                               1152          calcium bicarbonate            1180"
butane                                       1154          calcium bisulfite              1192



w w w . S i m t e c h . c o m
6
              Chemical            Number                        Chemical                  Number
calcium bromide                    1173          carboxylic acids > C6                      1335
’
calcium carbide                    1174          Caro s acid                                1200
calcium carbonate                  1175          caustic soda                               1547
calcium chlorate                   1176          cetylic acid                               1578
calcium chloride                   1177          chloral                                    1682
calcium chloride hypochlorite      1215          chloral hydrate                            1206
calcium chromate                   1178          chloramine B                               1207
calcium dihydrogen phosphate       1188          chloric acid                               1219
calcium fluoride                   1179          chloride of lime                           1215
calcium hydrogen carbonate         1180          chlorine                                   1213
"calcium hydrogen sulfide           1181          chlorine, aqueous solution                 1224"
calcium hydrogen sulfite           1192          chloroacetaldehyde                         1204
calcium hydroxide                  1182          chloroacetic acid                         1211
calcium hypochlorite               1183          chloroacetic acid ethyl ester             1501
calcium nitrate                    1184          chloroacetic acid methyl ester            1502
calcium othoarsenate               1171          chloroacetone                             1205
calcium oxalate                    1185          chloroallyl chloride                      1268
calcium permanganate               1186          chlorobenzene                             1208
calcium peroxide                   1187          N-chlorobenzene sulfonic acid amide sodium
1207
calcium sulfate                    1189          salt
